,name,paragraph
0,नील नदी,"संसार की सबसे लम्बी नदी नील है जो अफ्रीका की सबसे बड़ी झील विक्टोरिया से निकलकर विस्तृत सहारा मरुस्थल के पूर्वी भाग को पार करती हुई उत्तर में भूमध्यसागर में उतर पड़ती है। यह भूमध्य रेखा के निकट भारी वर्षा वाले क्षेत्रों से निकलकर दक्षिण से उत्तर क्रमशः युगाण्डा, इथियोपिया, सूडान एवं मिस्र से होकर बहते हुए काफी लंबी घाटी बनाती है जिसके दोनों ओर की भूमि पतली पट्टी के रूप में शस्यश्यामला दिखती है। यह पट्टी संसार का सबसे बड़ा मरूद्यान है।[1] नील नदी की घाटी एक सँकरी पट्टी सी है जिसके अधिकांश भाग की चौड़ाई १६ किलोमीटर से अधिक नहीं है, कहीं-कहीं तो इसकी चौड़ाई २०० मीटर से भी कम है। इसकी कई सहायक नदियाँ हैं जिनमें श्वेत नील एवं नीली नील मुख्य हैं। अपने मुहाने पर यह १६० किलोमीटर लम्बा तथा २४० किलोमीटर चौड़ा विशाल डेल्टा बनाती है।[2] घाटी का सामान्य ढाल दक्षिण से उत्तर की ओर है। मिस्र की प्राचीन सभ्यता का विकास इसी नदी की घाटी में हुआ है। इसी नदी पर मिस्र देश का प्रसिद्ध अस्वान बाँध बनाया गया है।नील नदी की घाटी का दक्षिणी भाग भूमध्य रेखा के समीप स्थित है, अतः वहाँ भूमध्यरेखीय जलवायु पायी जाती है। यहाँ वर्ष भर ऊँचा तापमान रहता है तथा वर्षा भी वर्ष भर होती है। वार्षिक वर्षा का औसत २१२ से. मी. है। उच्च तापक्रम तथा अधिक वर्षा के कारण यहाँ भूमध्यरेखीय सदाबहार के वन पाये जाते हैं। नील नदी के मध्यवर्ती भाग में सवाना तुल्य जलवायु पायी जाती है जो उष्ण परन्तु कुछ विषम है एवं वर्षा की मात्रा अपेक्षाकृत कम है। इस प्रदेश में सवाना नामक उष्ण कटिबन्धीय घास का मैदान पाया जाता है। यहाँ पाये जाने वाले गोंद देने वाले पेड़ो के कारण सूडान विश्व का सबसे बड़ा गोंद उत्पादक देश है। उत्तरी भाग में वर्षा के अभाव में खजूर, कँटीली झाड़ीयाँ एवं बबूल आदि मरुस्थलीय वृक्ष मिलते हैं। उत्तर के डेल्टा क्षेत्र में भूमध्यसागरीय जलवायु पायी जाती है जहाँ वर्षा मुख्यतः जाड़े में होती है।नील में काहिरा के निकट ज़मालेक क्षेत्र में एक नाव"
1,अमेज़न नदी,"आमेजन या अमेजॉन या आमेजॉन (पुर्तगाली: Rio Amazonas; स्पेनी: Río Amazonas; अंग्रेजी: Amazon River) दक्षिण अमेरिका से होकर बहने वाली एक नदी है। आयतन के हिसाब से यह विश्व की सबसे बड़ी और लम्बाई के हिसाब से दूसरी नदी है। यह ब्राजील, पेरु, बोलविया, कोलम्बिया तथा इक्वाडोर से होकर बहती है। यह पेरु के एंडीज़ पर्वतमाला से निकलकर पूर्व की ओर बहती है, और अटलांटिक महासागर में मिलती है। इसकी प्रवाह-घाटी विश्व में वृहत्तम है, तथा इसमें जल की प्रवाह दर इसके बाद की आठ नदियों के योग से भी अधिक है। इसके लम्बे-चौडे पाट के कारण इस नदी पर पुलों का अभाव है।अमेज़न के वर्षावन दुनिया में सबसे बड़े हैं। इसका कुल क्षेत्रफल 70 लाख वर्ग किलोमीटर है, जोकि पूरे दक्षिण अमरीकी प्रायद्वीप का 40 प्रतिशत हिस्सा है। अमेज़न के जंगल धरती के पर्यावरण संतुलन में बेहद अहम भूमिका निभाते हैं, इसलिए उसे 'धरती का फेफड़ा' कहा जाता है।अमेज़न जैव विविधता का केंद्र है और यहाँ जीव-जंतुओं और वनस्पतियों के बेशुमार किस्में पाई जाती हैं। अमेज़न के वर्षावन से होकर बहने वाली 6,437 से 7000 किलोमीटर लंबी मानी जाती है। इसकी  चोड़ाई 140 किलोमीटर है ।[[1]][[2]][[3]]"
2,यांग्त्सीक्यांग,"यांग्त्सीक्यांग, चीन की सबसे लम्बी नदी है, जो सीकांग के पहाड़ी क्षेत्र से निकलकर, दक्षिण-पश्चिम से उत्तर-पूर्व दिशा की ओर बहती हुई, पूर्वी चीन सागर में गिरती है। इसे चांग ज्यांग (Simplified Chinese 长江, Traditional Chinese 長江, Cháng Jiāng) या यांग्त्सी या यांग्ज़ी भी कहते हैं। यह विश्व की तीसरी सबसे लम्बी नदी है। प्रायः पश्चिम से पूर्व की दिशा में बहने वाली इस नदी की लम्बाई लगभग 6300 किलोमीटर है।[1][2]यह सर्वप्रथम कुछ दूर उच्च पहाड़ी क्षेत्र में बहने के पश्चात् लाल बेसिन में प्रसेश करती है, जहाँ धरातल अत्यंत कटा फटा एवं कुछ असमतल है। यहाँ मिलक्यांग, चुंगक्यांग, सुइनिंग और कयाओलिंगक्यांग सहायक नदियाँ उत्तर से आकर मिलती हैं। ये सभी नाव्य हैं तथा उपजाऊ घाटियाँ बनाती हैं। लाल बेसिन को पार कर यांग्त्सीक्यांग एक गहरी घाटी में बहती हुई समतल भूभाग में प्रवेश करती है। यहाँ कई झीलें मिलती हैं, जिनमें से तीन मिट्टी भर जाने से महत्वपूर्ण थालों का रूप ले चुकी हैं। दो थालों को तो नदी ने दो दो भागों में बाँट दिया है। तीसरा काफी नीचा है, जहाँ कभी कभी बाढ़ आ जाती है। नदी घाटी का यह भाग काफी उपजाऊ है। यहाँ उत्तर से हेन और दक्षिण से सियांग नामक सहायक नदियाँ इसमें आकर मिलती हैं, जो नाव्य हैं। बड़े समुद्री जहाज यांग्त्सीक्यांग द्वारा हैंकाऊ तथा बड़ी नावें और स्टीमर आइशांग तक आ जा सकते हैं। तत्पश्चात् यांग्त्सीक्यांग क्यांगसू प्रांत में डेल्टा बनाती है, जहाँ का भूभाग कुछ पहाडियों को छोड़कर लगभग समतल है। डेल्टा की संपूर्ण समतल भूमि बहुत उपजाऊ है।यांग्त्सी घाटी के विभिन्न भागों में धान, गेहूँ, जौ, कपास, चाय, ज्वार- बाजरा, मक्का, गन्ना, तंबबाकू, अफीम, तिलहन, मटर, बीन, फल और शाक भाजियाँ आदि उपजते हैं। रेशम का भी यहाँ उत्पादन होता है। अत: कृषि एवं यातायात की सुलभता के कारण संपूर्ण यांग्त्सीघाटी में जनसंख्या बहुत घनी हो गई है।"
3,ह्वांगहो,"ह्वांगहो या ह्वांगहे या ह्वांगहा जिसे पीली नदी भी कहा जाता है, चीन से होकर बहने वाली एक नदी है। लम्बाई के हिसाब से यह विश्व में सातवाँ स्थान रखती है।
== नदी की लम्बाई (किलोमीटर मे 4845 
किलोमीटर लंबाई, चीन में यह दूसरे नंबर पर है, सबसे लंबी नदी और 5464 किलोमीटर (3,395 मील) की अनुमानित लंबाई में दुनिया में छठा सबसे लंबे समय तक।पश्चिमी चीन के किंघाई प्रांत में बायन हर पहाड़ों में मूल, यह बोहै सागर में नौ चीन के प्रांतों और खाली माध्यम से बहती है। पीली नदी बेसिन 1900 किमी (1180 मील) और 1100 किलोमीटर (684 मील) की उत्तर दक्षिण सीमा के एक पूर्व पश्चिम सीमा है। इसकी कुल बेसिन क्षेत्र 742443 वर्ग किमी (290,520 मील ²) है.पीली नदी अपनी बेसिन के रूप में ""चीनी सभ्यता का उद्गम स्थल"" कहा जाता है - विशेष रूप से, वी घाटी लंबे ओर्दोस् पाश में कटौती - कि प्राचीन चीनी सभ्यता के जन्मस्थान और जल्दी चीनी इतिहास में सबसे समृद्ध क्षेत्र था। हालाँकि, अक्सर विनाशकारी बाढ़ और कभी कभी उसके आसपास के क्षेत्रों के स्तर से ऊपर, नदी बिस्तर के लगातार उन्नयन द्वारा निर्मित पाठ्यक्रम परिवर्तन भी यह अवांछनीय नाम ""चीन के दुख"" और अर्जित की है ""हान के बेटे का संकट।"""
4,पराना नदी,"पराना नदी, दक्षिण मध्य अमेरिका में बहने वाली एक नदी है।[कृपया उद्धरण जोड़ें] यह ब्राजील, पैराग्वे और अर्जेंटीना में बहते हुए 4,880 किलोमीटर (3,030 मील) का सफ़र तय करती है।[कृपया उद्धरण जोड़ें] दक्षिण अमेरिका में बहने वाली नदियों में अमेज़न नदी के बाद यह दूसरी सबसे बड़ी नदी है।[कृपया उद्धरण जोड़ें] पराना नदी के नाम का अर्थ है 'समुद्र जैसी विशाल'। पहले यह पैराग्वे नदी में मिलती है और फिर और नीचे गिरते हुए उरुग्वे नदी में मिल जाती है और रिओ दे ला प्लाता नदी के मुहाने का निर्माण करते हुए अटलांटिक समुद्र में मिल जाती है।[कृपया उद्धरण जोड़ें]"
5,कांगो नदी,"कांगो नदी, जो ज़ाइरे नदी भी कहलाती है, अफ़्रीका की एक प्रमुख नदी है। ४,७०० किलोमीटर की दूरी तय करने वाली यह नदी पश्चिम मध्य अफ़्रीका की सबसे विशाल और नील नदी के बाद अफ़्रीका की सबसे लम्बी नदी है। कांगो नदी विश्व की समस्त नदियों में, दक्षिण अमेरीका की ऐमेंज़न नदी के बाद, दूसरी सबसे अधिक जलप्रवाह वाली नदी है। लम्बाई में यह दुनिया की नौवी सबसे लम्बी नदी है और पूर्व अफ़्रीकी रिफ़्ट की पहाड़ियों-पठारों में अपने स्रोत से लेकर अटलांटिक महासागर में विलय तक ४,७०० किमी का फ़ासला तय करती है।[1] अपने मार्ग में कांगो नदी दो बार भूमध्य रेखा पार करती है। इस विशाल नदी का जलसम्भर क्षेत्र भी विशाल है और इसमें लगभग ४० लाख वर्ग किमी आते हैं, जो कि पूरे अफ़्रीकी महाद्वीप का १३% क्षेत्रफल है। कांगो नदी पर मुख्य रूप से दो जलप्रपात हैं स्टैनले जलप्रपात और लिविंगस्टोन जलप्रपात [2]इसकी संपूर्ण लंबाई 2,900 मील है। इसका प्रवाहक्षेत्र 14,25,000 वर्ग मील है। नदी अपने मुहाने पर सात मील चौड़ा रूपधारण कर समुद्र में गिरती है। यह समुद्र में प्रति सेकेंड 20 लाख घन फुट कीचड़ युक्त पानी गिराती है। यह नदी मध्य अफ्रीका के 4,650 फुट की ऊँचाई से निकलती है उत्तरी रोडेशिया में चंबेज़ी तदुपरांत लूआ पूला (Lua Pula) नाम से विख्यात है। यह नदी 200 फुट की ऊँचाई से गिरकर स्टैनली जलप्रपात का सृजन करती है। इसके पश्चात यह बहुत बड़ी नदी का रूप धारण कर लेती है जो 980 मील चंद्राकार रूप में बहती हुई भूमध्य रेखा को दो बार आर-पार करती है। इसकी सहायक नदियों में कसाई तथा उंबागी विशेष उल्लेखनीय हैं। इस नदी में 4,000 लघु द्वीप हैं। इसमें छोटी-छोटी वाष्पचालित नौकाएँ भी चलाई जाती हैं। इसका निचला जलप्रवाह 28 स्थलों पर विघटित होकर जलशक्ति उत्पादक स्थानों का सृजन करता है। यहाँ पर शिकार खेलने योग्य भयंकर जंगली जानवर पाए जाते हैं क्योंकि इस
नदी का अधिकांश मार्ग घने तथा अभेद्य जंगलों से घिरा हुआ है। इसमें सैकड़ों जातियों की मछलियाँ मिलती हैं तथा तटीय प्रदेश में दुर्लभ कीड़े-मकोड़ों की प्राप्ति होती है।कांगो नदी"
6,मीकांग नदी,"मेकांग विश्व की प्रमुख नदियों में से है जो तिब्बत से शुरु होकर चीन के युनान प्रान्त, म्यानमार, थाईलैंड, लाओस तथा कम्बोडिया से होकर बहती है। लंबाई के अनुसार यह विश्व की १३वीं सबसे बड़ी नदी है और प्रवाह के आयतन दर के अनुसार १०वीं। बहाव में अनियतता तथा जलप्रपातों के कारण से इसका अधिकांश भाग नौकाओं के लिये अगम्य है। यह दक्षिण पूर्व एशिया की सबसे लम्बी नदी है साथ ही यह थाइलैंड व लावोस की सीमा निर्धारित करती है।इसे तिब्बत मे द्ज़ा-चू (Dza-chu) कहा जाता है[1]। चीनी भाषा मे मेइगोगं हे (湄公河, Méigōng Hé) या लन्चाग जोंगं (澜沧江, Láncāng Jiāng), थाई मे मै चाम थोगं (Mae Nam Khong, แม่น้ำโขง), लओ भाषा में मेनम खोगं (ແມ່ນ້ຳຂອງ, Mènam Khong), कम्बुजा भाषा मे मेकोगंक (Mékôngk) और विएत्नाम की भाषा मे कुउ लोग जोगं (Cửu Long Giang) के नाम से यह परिचित है।"
7,लेना नदी,"लेना नदी (रूसी: Ле́на, अंग्रेज़ी: Lena) उत्तरी एशिया के पूर्वी साइबेरिया क्षेत्र की एक नदी है और दुनिया की ११वीं सबसे लम्बी नदी है। येनिसेय नदी और ओब नदी के साथ यह आर्कटिक सागर में बहने वाली तीसरी महान साइबेरियाई नदी मानी जाती है। इसकी पूरी लम्बाई ४,४७२ किमी (२,७७९ मील) है और यह पूरी तरह रूस के अन्दर बहने वाली सबसे लम्बी नदी है।लीना नदी एशिया में बैकाल पर्वत से निकलकर साइबेरिया के पूर्वी भाग में बहकर उत्तरी हिम महासागर की एक सँकरी खाड़ी में गिरती है। अगल बगल से इसमें आकर मिलनेवाली कई सहायक नदियों सहित इसकी जलप्रवाह प्रणाली द्रुमाकृतिक है। यह वर्ष में सात-आठ महीने जमी रहती है और वसंत ऋतु में पिघलती है, परंतु इसका मुहाना उस समय भी हिमाच्छादित रहता है। फलस्वरूप जल मैदानों में फैल जाता है, जिससे दलदल बन जाते हैं।लेना नदी मध्य साइबेरियाई पठार से दक्षिण में १,६४० मीटर की ऊँचाई पर बायकाल पर्वतों में शुरू होती है। इसका स्रोत स्थल मशहूर बायकाल झील से ७ किमी पश्चिम को है। अपने स्रोत से यह उत्तर-पूर्व को बहती है और इसमें किरेंगा नदी, वितिम नदी और ओल्योकोमा नदी विलय हो जाती हैं। याकुत्स्क के शहर के बाद यह पठार से उतारकर मैदानी इलाक़े में आ जाती है और उत्तर को बहती हैं जहाँ इसमें अल्दान नदी विलय हो जाती है। रास्ते में वेरख़ोयान्स्क पर्वतों के आ जाने की वजह से यह उत्तर-पश्चिम को रुख़ बदलती है और इसमें विल्युय नदी विलय हो जाती है। इसके बाद यह आर्कटिक महासागर की एक विभाग में (जिसका नाम लापतेव सागर है) बह जाती है। कुल मिलाकर लेना नदी का जलसम्भर इलाक़े का क्षेत्रफल २५,००,००० वर्ग किमी है।[2]"
8,इरतिश नदी,"इरतिश नदी (रूसी: Иртыш, अंग्रेज़ी: Irtysh) उत्तरी एशिया के साइबेरिया क्षेत्र की एक नदी है और ओब नदी की प्रमुख उपनदी है। इसके नाम का अर्थ 'सफ़ेद नदी' है। ओब-इरतिश का मिलाजुला क्षेत्र एशिया का एक विशाल जलसम्भर है जिसमें पश्चिमी साइबेरिया और अल्ताई पर्वत आते हैं। इसकी कुल लम्बाई ४,२४८ किलोमीटर (२,६४० मील) है। इरतिश नदी का मार्ग चीन, कज़ाख़स्तान, मंगोलिया और रूस के देशों से होकर निकलता है।[1]इरतिश नदी चीन के शिनजियांग प्रान्त के अल्ताई पर्वतों में 'कारा-इरतिश' (यानि 'काली रंग की इरतिश') के नाम से जन्म लेती है। वहाँ से यह पश्चिमोत्तर दिशा में बहती हुई कज़ाख़स्तान की ज़ायसान झील से गुज़रती है। आगे पहले इशिम नदी और फिर तोबोल नदी इसमें विलय हो जाती हैं। फिर यह रूस में दाख़िल होती है और पश्चिमी साइबेरिया के ख़ान्ती-मान्स्यिन्स्क शहर के पास इसका विलय ओब नदी में होता है और उसके बाद इस धारा को ओब नदी के नाम से ही जाना जाता है।"
9,नाइजर नदी,"नाइजर नदी पश्चिम अफ़्रीका की प्रमुख नदी है। नील और कांगो नदी के बाद यह अफ़्रीका की तीसरी सबसे लंबी नदी है। नाइजर नदी सिएरा लियोन मे स्थित लोमा पर्वत से पहाड़ी क्षेत्र से निकलकर
समुद्र से विमुख होकर
दक्षिणी सहारा मरुस्थल में
2,600 मील बहने के पश्चात
दक्षिण की ओर मुड़कर 
गिन्नी की खाड़ी में
गिरती है। 
इस नदी की पुरानी धारा के
चिन्ह मरुस्थल में बहुत दूर
उत्तर तक मिलते हैं।
नाइजर की सबसे महत्वपूर्ण
सहायक नदी 'बेन्ययू', इसके
मुहाने से 250 मील ऊपर
मिलती है।
समुद्र में मिलने से पहले
नाइजर कई धाराओं में बँटकर
1,400 वर्ग मील क्षेत्र में
डेल्टा बनाती है।
डेल्टा में, जो समुद्र के
किनारे 120 मील लंबा है,
धान , गन्ना तथा कपास
की अच्छी उपज होती है।
नाइजर में 5,84,000 वर्ग मील
क्षेत्र का जल आता है।
यद्यपि इसकी धारा में
अनगिनत चट्टानें तथा झरने
पड़ते हैं, तथापि इसका मध्य
भाग छोटी नौकाओं के
परिवहन का काम देता है।
इस नदी में मछलियाँ , मगर
तथा दरियाई घोड़े अधिक
मिलते हैं।"
