item,itemLabel,length,pic,location
http://www.wikidata.org/entity/Q425,Betsiboka River,525,http://commons.wikimedia.org/wiki/Special:FilePath/Bombetoka%20Bay%2C%20April%202005.jpg,Point(47.485374 -18.35868)
http://www.wikidata.org/entity/Q425,Betsiboka River,600,http://commons.wikimedia.org/wiki/Special:FilePath/Bombetoka%20Bay%2C%20April%202005.jpg,Point(47.485374 -18.35868)
http://www.wikidata.org/entity/Q425,Betsiboka River,525,http://commons.wikimedia.org/wiki/Special:FilePath/Bombetoka%20Bay%2C%20April%202005.jpg,Point(46.309723 -15.867893)
http://www.wikidata.org/entity/Q425,Betsiboka River,600,http://commons.wikimedia.org/wiki/Special:FilePath/Bombetoka%20Bay%2C%20April%202005.jpg,Point(46.309723 -15.867893)
http://www.wikidata.org/entity/Q548,Vistula,1047,http://commons.wikimedia.org/wiki/Special:FilePath/Vistule.jpg,Point(19.0013 49.6041)
http://www.wikidata.org/entity/Q548,Vistula,1047,http://commons.wikimedia.org/wiki/Special:FilePath/Vistule.jpg,Point(18.9522 54.3641)
http://www.wikidata.org/entity/Q552,Oder,742,http://commons.wikimedia.org/wiki/Special:FilePath/WyspaRedzinska-GK.JPG,Point(17.5208 49.6133)
http://www.wikidata.org/entity/Q552,Oder,854,http://commons.wikimedia.org/wiki/Special:FilePath/WyspaRedzinska-GK.JPG,Point(17.5208 49.6133)
http://www.wikidata.org/entity/Q552,Oder,742,http://commons.wikimedia.org/wiki/Special:FilePath/WyspaRedzinska-GK.JPG,Point(14.5897 53.6017)
http://www.wikidata.org/entity/Q552,Oder,854,http://commons.wikimedia.org/wiki/Special:FilePath/WyspaRedzinska-GK.JPG,Point(14.5897 53.6017)
