item,itemLabel,length,article
http://www.wikidata.org/entity/Q8498,Arghandab River,400,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8501,Gomal River,400,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8505,Hari River,1150,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8510,Helmand River,1150,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8515,Kabul River,460,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8519,Kunar River,480,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8526,Vakhsh River,524,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8534,Wakhan River,220,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8542,Panj River,921,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
http://www.wikidata.org/entity/Q8553,Morghab River,978,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%9F%E0%A4%BF%E0%A4%95%E0%A4%BE
